Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
Jeremy James Palmer-Tomkinson,M,24,182,80.82,GBR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Jeremy Macarthur Nobis,M,23,178,80.21,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,
Jernej Koblar,M,26,176,85.63,SLO,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Combined,
Jeroen Van Den Bogaert,M,30,181,78.45,BEL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Jessica Monika Lindell Vikarby,F,29,169,70.36,SWE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Jhann Fririk Haraldsson,M,22,176,81.28,ISL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Jhonatan Longhi,M,26,178,85.92,BRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Joan Verd Snchez,M,18,178,70.35,AND,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Joe Kuralt,M,26,178,79.27,YUG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Johan Clarey,M,33,191,98.87,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
"Johanna ""Hanna"" Schnarf",F,25,172,68.96,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Downhill,
Johnny Albertsen,M,32,170,76.04,DEN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Downhill,
Jol Gaspoz,M,31,173,70.44,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Jol Georges Chenal Jacquet,M,24,177,78.67,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Giant Slalom,
Jolanda Kindle (-Vogt),F,18,165,61.28,LIE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Giant Slalom,
Jonas Lars Nilsson,M,28,185,82.79,SWE,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
"Jonathon ""Jono"" Brauer",M,24,177,80.81,AUS,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Jordi Torres,M,19,182,80.93,AND,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Jorge Mandr Henrquez,M,19,180,81.06,CHI,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Jorge Ral Birkner Cogan,M,23,179,74.03,ARG,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Combined,
Jorge-Emilio Lazzarini,M,16,167,59.19,ARG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Jos Manuel Bejarano Carvajal,M,35,163,55.78,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Jose Lacasse,F,22,162,61.65,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Giant Slalom,
"Josef ""Jos"" Minsch",M,26,174,79.21,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
"Josef ""Sepp"" Ferstl",M,21,178,78.4,FRG,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
"Josef ""Sepp"" Heckelmiller",M,28,185,82.51,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Josef Gassner,M,19,171,70.9,LIE,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Josef Polig,M,23,168,70.99,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
"Joseph Brooks Dodge, Jr.",M,22,186,76.81,USA,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Downhill,
Jrgen Hasler,M,24,180,91.14,LIE,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
Juan Flipe Briones Goich,M,17,176,72.34,CHI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Juan Garriga Teruel,M,23,170,72.06,ESP,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Juan Holz,M,20,181,78.69,CHI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Judi Leinweber (-McIntosh),F,17,168,61.63,CAN,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
"Judith MacPherson ""Judy"" Crawford (-Rawley)",F,20,165,55.02,CAN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Judy Ann Nagel,F,16,163,57.41,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Giant Slalom,
Juichi Maruyama,M,22,166,63.48,JPN,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Jukka Lasse Petteri Rajala,M,23,172,74.71,FIN,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Julia Marie Mancuso (-Fish),F,25,168,64.63,USA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
Julian Vasey,M,17,173,65.78,GBR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Julie Madelein Josephine Parisien,F,22,173,68.8,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,
Julien Lizeroux,M,30,173,80.05,FRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Combined,
Jung Dong-Hyeon,M,25,180,75.39,KOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Junko Yamakawa,F,22,165,63.49,JPN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
Jure Koir,M,29,186,90.27,SLO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Jzef Marusarz,M,30,169,72.88,POL,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Men's Giant Slalom,
Kajsa Britta Kling,F,25,172,74.66,SWE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Kalle Markus Palander,M,24,178,82.76,FIN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Kanet Sucharitakul,M,21,170,67.19,THA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Karen Dokka (-Vageletos),F,17,164,61.36,CAN,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Karen Lynne Percy (-Lowe),F,21,165,61.76,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Combined,
Karen Persyn,F,26,173,71.91,BEL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Karen Putzer,F,23,161,59.86,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Super G,Bronze
Karin Roten (-Meier),F,22,167,57.21,SUI,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
Karl Cordin,M,23,185,88.62,AUT,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Karl Schranz,M,25,175,73.87,AUT,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,Silver
Katarzyna Irena Szafraska (-Sosgrnik),F,22,158,54.15,POL,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Slalom,
Kateina Paulthov,F,20,171,65.92,CZE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
"Katherine ""Kate"" Pace-Lindsay",F,28,175,70.93,CAN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Downhill,
Kathrin Hlzl,F,25,163,60.64,GER,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Kathrin Zettel,F,23,167,62.22,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Combined,
Kathy Kreiner (-Phillips),F,18,173,59.78,CAN,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,Gold
Katja Koren,F,18,170,64.85,SLO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,
Katja Seizinger (-Weber),F,21,171,64.74,GER,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
Katrin Neuenschwander,F,20,166,64.64,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Slalom,
Katsuhito Kumagai,M,23,175,79.69,JPN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Kayrat Ermetov,M,21,174,69.28,UZB,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Kelly Vanderbeek,F,23,173,67.04,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Kerrin Anne Lee-Gartner,F,25,171,64.26,CAN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Combined,
Khrystyna Podrushna,F,16,160,53.17,UKR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,
Kiminobu Kimura,M,31,180,86.05,JPN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Kinga Barsi,F,21,178,71.31,HUN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
"Kirsten Kate Llewellyn ""Kirsty"" McGarry",F,24,172,66.61,IRL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Kirsten Lee Clark (-Rickenbach),F,20,167,67.87,USA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Kjetil Andr Aamodt,M,22,176,85.99,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,
Kjetil Jansrud,M,20,185,83.66,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Klaus Krll,M,33,186,96.11,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Klemen Kosi,M,22,188,84.94,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
"Klementina ""Tina"" Maze",F,22,172,68.74,SLO,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Klra Kov,F,24,178,70.79,CZE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Konrad Bartelski,M,17,178,72.15,GBR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Konrad Kurt Ladsttter,M,23,183,83.17,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Konstantin Sergeyevich Chistyakov,M,17,184,85.13,URS,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Combined,
Konstantina Koutra,F,22,168,51.3,GRE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Krista Maria Schmidinger,F,23,162,60,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Downhill,
Kristaps Zvejnieks,M,17,185,88.45,LAT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Kristian Ghedina,M,28,177,85.96,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Combined,
"Kristin Elizabeth Krone (Rogers-, -Vallant)",F,19,167,66.6,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Combined,
Kristina Lyn Koznick,F,26,169,75.8,USA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Giant Slalom,
Kristinn Benediktsson,M,24,175,68.1,ISL,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Kristinn Bjrnsson,M,19,177,71.01,ISL,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Kristinn Ingi Valsson,M,20,185,86.84,ISL,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Kristinn Magnsson,M,21,179,80.33,ISL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Kristjn Uni skarsson,M,22,184,84.09,ISL,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Krytof Krzl,M,23,183,84.92,CZE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Kseniya Grigoryeva,F,26,180,61.51,UZB,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Kumiko Kashiwagi,F,19,159,53.99,JPN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
Kyle A. Rasmussen,M,23,183,95.15,USA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Combined,
Lamine Guye,M,31,192,92.34,SEN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Lara Gut,F,22,160,58.96,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Lara Magoni,F,23,172,71.3,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Slalom,
Larisa Yurkiw,F,25,171,71.38,CAN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Lars Elton Myhre,M,25,184,89.35,NOR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Lars Markus Larsson,M,27,183,83.53,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Lars-Brje Eriksson,M,21,173,69.39,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,Bronze
Lasse Kjus (Kristoffersen-),M,23,180,88.49,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Super G,
"Lauren Margaret ""Laurie"" Kreiner (-Vaillancourt)",F,17,168,58.63,CAN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Laurenne Ross,F,25,173,68.76,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Lazaros Arkhontopoulos,M,25,170,68.69,GRE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Leire Morlans Aguilar,F,18,170,65.57,ESP,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Lela Piccard,F,23,165,58.89,FRA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
Leonhard Stock,M,21,183,84.61,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Lesley Beck,F,23,152,46.38,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Giant Slalom,
Liene Fimbauere,F,21,156,56.22,LAT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Lin Chi-Liang,M,24,170,64.71,TPE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Linda Meyers (-Tikalsky),F,26,164,57.74,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Slalom,
Lindsey Caroline Kildow-Vonn,F,21,178,76.22,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Combined,
lise Pellegrin,F,22,162,58.67,MLT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Lotfollah Kia Shemshaki,M,29,172,73.66,IRI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Luc Alphand,M,28,180,76.28,FRA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Super G,
Luca Aerni,M,20,177,80.84,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Luca Cattaneo,M,25,176,84.65,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Combined,
Lucie Hrstkov,F,20,163,64.05,CZE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Super G,
Lucie Laroche,F,19,157,57.19,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,
"Ludwig ""Luggi"" Leitner",M,19,184,76.52,GER,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Downhill,
Luke Henri Steyn,M,20,182,81.38,ZIM,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Luke Sauder,M,27,177,91.56,CAN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Downhill,
Lyubomir Svetoslavov Popov,M,24,184,82.75,BUL,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Macarena Benvenuto Gutirrez,F,17,162,57.72,CHI,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Macarena Mara Simari Birkner,F,21,168,60.94,ARG,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Maciej Bydliski,M,25,180,85.95,POL,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Madeleine Bochatay (-Montessuit),F,20,169,60.98,FRA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
"Magdalini ""Magda"" Kalomoirou",F,26,170,70.97,GRE,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Majda Ankele (-Samaluk),F,27,167,61.05,YUG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
Malcolm Milne,M,19,183,87.83,AUS,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Manfred Mlgg,M,27,180,79.52,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Combined,
Manfred Oettl Reyes,M,16,165,60.22,PER,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Manuel Osborne-Paradis,M,29,183,95.06,CAN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Manuela Mlgg,F,22,170,63.25,ITA,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Mara Beln Simari Birkner,F,27,168,61.21,ARG,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Combined,
Mara Jos Rienda Contreras,F,34,167,66.97,ESP,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Marc Berthod,M,26,180,86.3,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Marc Gini,M,25,183,82.52,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Marc Girardelli,M,28,178,83.4,LUX,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Marc Oliveras,M,22,173,76.02,AND,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
Marcel Hirscher,M,20,173,74.03,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Marcel Maxa,M,23,184,89.24,CZE,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Giant Slalom,
Marcin Zbigniew Szafraski,M,22,178,74.74,POL,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Marco Bchel,M,22,186,92.9,LIE,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Marco Timothy Sullivan,M,33,180,93.13,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
"Margarethe ""Gretl"" Weikert",F,21,162,51.51,AUT,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing Women's Combined,
Margit Marta Bhler (-Tschikof),F,20,175,65.95,LIE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Maria Gsienica Daniel-Szatkowska,F,19,159,55.87,POL,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Women's Downhill,
Maria Helena Pietil Holmner,F,27,170,64.78,SWE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Maria Hfl-Riesch,F,29,182,79.02,GER,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Combined,Gold
Maria Kristina Andersson,F,22,165,56.74,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Slalom,
Maria Rosa Quario (-Brignone),F,22,163,56.77,ITA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Slalom,
Maria Walliser (-Anesini),F,24,168,60.3,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,
Maria Zaruc,F,16,160,58.07,ROU,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,
Marianne Kjrstad,F,23,173,64.61,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Super G,
Marie-Luce Waldmeier,F,19,164,60.58,FRA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Downhill,
Marie-Michle Gagnon,F,24,177,69.55,CAN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Marie-Pier Prfontaine,F,25,162,67.01,CAN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Marie-Theres Nadig,F,25,165,65.38,SUI,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,
Marika Labancz,F,19,168,59.71,HUN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
Marina Kiehl,F,23,164,62.86,FRG,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,
Marina Nigg,F,29,167,61.82,LIE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Marino Cardelli,M,22,180,76.02,SMR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Mario Konzett,M,21,172,69.45,LIE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Mario Matt,M,26,190,91.31,AUT,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Mario Reiter,M,27,176,78.8,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Slalom,
Mario Scheiber,M,26,176,85.13,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Mario Vera,M,28,170,77.11,CHI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Mariya Andreyevna Bedaryova,F,21,170,70.43,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Mariya Igorevna Shkanova,F,24,166,66.65,BLR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Mariya Kirkova,F,24,165,59.89,BUL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
Marko Kavi,M,22,177,71.23,YUG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Marko Rudi,M,20,184,82.52,BIH,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Marko Schafferer (eferer-),M,21,178,78.48,BIH,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Marko Vukievi,M,21,185,91.62,SRB,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Markus Ganahl,M,26,189,98.17,LIE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Markus Hubrich,M,21,180,77.46,NZL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Markus Wasmeier,M,28,180,73.87,GER,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
Marlies Schild (-Raich),F,24,172,67.07,AUT,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Giant Slalom,
Martin Bendk,M,20,187,96.38,SVK,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
Martin Hangl,M,25,185,78.75,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Martin Neil Bell,M,27,180,83.8,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Martin Vrblk,M,31,175,80.14,CZE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Martina Accola,F,24,170,63.02,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Slalom,
Martina Maria Ertl-Renz,F,32,162,59.76,GER,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Marua Ferk,F,21,167,64.12,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Combined,
Maryna Anna Gsienica-Daniel,F,19,160,54.18,POL,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Masayoshi Kashiwagi,M,22,170,66.5,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Masayoshi Mitani,M,22,169,60.11,JPN,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Downhill,
Massimiliano Blardone,M,30,172,74.72,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Massimiliano Valcareggi,M,18,183,83.79,GRE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Matea Ferk,F,22,165,63.64,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Matej Falat,M,20,185,84.1,SVK,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
Mateja Svet,F,19,158,54.28,YUG,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,
Mathieu Razanakolona,M,19,165,67.27,MAD,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
"Mathilde ""Hilde"" Gerg (-Gral)",F,26,172,71.35,GER,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Combined,
Mats Fredrik Nyberg,M,32,174,77.46,SWE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Matthias Henry Hubrich,M,21,185,72.75,NZL,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Mattias Hargin,M,24,179,82.33,SWE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Matts Anton Olsson,M,25,179,86.44,SWE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Maui Gayme Anguita,M,18,179,83.66,CHI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Maurice Sanglard,M,24,183,80.57,FRA,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Downhill,
Max Franz,M,24,182,90.54,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
Max Julen,M,22,170,64.55,SUI,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Max Rauffer,M,29,185,95.5,GER,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Maxime Tissot,M,23,184,82.54,FRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Maya Harrisson,F,17,161,53.86,BRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Megan C. Gerety (-Moe),F,22,168,66.56,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Downhill,
Megan Jean McJames,F,26,168,58.45,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Mehmet Gkcan,M,18,172,71.33,TUR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Mehmet Yldrm,M,19,162,60.99,TUR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Micha Kawa,M,27,186,88.84,POL,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
"Michael ""Mike"" Carney",M,21,180,79.19,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
Michael Dennis,M,23,183,86.85,NZL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
